127.0.0.1 - - [25/Feb/2017:21:50:54 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.eot HTTP/1.1" 200 20260 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.eot? HTTP/1.1" 200 20335 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.woff2 HTTP/1.1" 200 18212 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.woff HTTP/1.1" 200 23140 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.ttf HTTP/1.1" 200 39708 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/semibold/opensans-600.svg HTTP/1.1" 200 100495 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.eot HTTP/1.1" 200 19776 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.eot? HTTP/1.1" 200 19851 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.woff2 HTTP/1.1" 200 17900 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:55 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.woff HTTP/1.1" 200 22664 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:56 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.ttf HTTP/1.1" 200 38684 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
127.0.0.1 - - [25/Feb/2017:21:50:56 +0000] "GET /pub/static/version1488059402/frontend/Magento/luma/en_US/fonts/opensans/bold/opensans-700.svg HTTP/1.1" 200 100270 "http://127.0.0.1:32775/pub/static/version1488059402/frontend/Magento/luma/en_US/css/styles-m.css" "Wget/1.16 (linux-gnu)"
